batch_id	local_file_id	file_name	path_stub	volume	issue	year	page_count_estimate	runtime_path_available	ocr_priority	ocr_priority_reason	ocr_scope	ocr_engine	output_basename	expected_output_format	metadata_sidecar_path	status	blocked_by	notes
jbrs-ocr-0011	011096-e06a26f51f14	011096.pdf	Burmese/Burma JBRS/1911/011096.pdf			1911		true	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	011096-e06a26f51f14-011096	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/011096-e06a26f51f14-011096.json	ready_for_ocr		OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0012	011098-dfc0debb3b75	011098.pdf	Burmese/Burma JBRS/1911/011098.pdf			1911		true	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	011098-dfc0debb3b75-011098	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/011098-dfc0debb3b75-011098.json	ready_for_ocr		OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0013	011099-e396af76a9cb	011099.pdf	Burmese/Burma JBRS/1911/011099.pdf			1911		true	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	011099-e396af76a9cb-011099	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/011099-e396af76a9cb-011099.json	ready_for_ocr		OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0014	011103-250b2aeefb9c	011103.pdf	Burmese/Burma JBRS/1911/011103.pdf			1911		true	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	011103-250b2aeefb9c-011103	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/011103-250b2aeefb9c-011103.json	ready_for_ocr		OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0015	011107-718d5525913f	011107.pdf	Burmese/Burma JBRS/1911/011107.pdf			1911		true	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	011107-718d5525913f-011107	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/011107-718d5525913f-011107.json	ready_for_ocr		OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0016	011109-0929ec670e31	011109.pdf	Burmese/Burma JBRS/1911/011109.pdf			1911		true	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	011109-0929ec670e31-011109	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/011109-0929ec670e31-011109.json	ready_for_ocr		OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0017	011109a-c8814bf030c2	011109A.pdf	Burmese/Burma JBRS/1911/011109A.pdf			1911		true	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	011109a-c8814bf030c2-011109a	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/011109a-c8814bf030c2-011109a.json	ready_for_ocr		OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0018	011112-62c1e0363d56	011112.pdf	Burmese/Burma JBRS/1911/011112.pdf			1911		true	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	011112-62c1e0363d56-011112	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/011112-62c1e0363d56-011112.json	ready_for_ocr		OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0019	011113-d7410a638dd9	011113.pdf	Burmese/Burma JBRS/1911/011113.pdf			1911		true	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	011113-d7410a638dd9-011113	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/011113-d7410a638dd9-011113.json	ready_for_ocr		OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0020	011117-611db3ad2cfd	011117.pdf	Burmese/Burma JBRS/1911/011117.pdf			1911		true	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	011117-611db3ad2cfd-011117	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/011117-611db3ad2cfd-011117.json	ready_for_ocr		OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0021	011119-654ca2fff409	011119.pdf	Burmese/Burma JBRS/1911/011119.pdf			1911		true	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	011119-654ca2fff409-011119	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/011119-654ca2fff409-011119.json	ready_for_ocr		OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0022	011122-4e6b720936e2	011122.pdf	Burmese/Burma JBRS/1911/011122.pdf			1911		true	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	011122-4e6b720936e2-011122	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/011122-4e6b720936e2-011122.json	ready_for_ocr		OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0023	011131-b5499d8eb174	011131.pdf	Burmese/Burma JBRS/1911/011131.pdf			1911		true	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	011131-b5499d8eb174-011131	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/011131-b5499d8eb174-011131.json	ready_for_ocr		OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0024	011136-412a30c7d37d	011136.pdf	Burmese/Burma JBRS/1911/011136.pdf			1911		true	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	011136-412a30c7d37d-011136	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/011136-412a30c7d37d-011136.json	ready_for_ocr		OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0025	011140-7af3f6378d78	011140.pdf	Burmese/Burma JBRS/1911/011140.pdf			1911		true	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	011140-7af3f6378d78-011140	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/011140-7af3f6378d78-011140.json	ready_for_ocr		OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0026	011142-d4d21dbff26b	011142.pdf	Burmese/Burma JBRS/1911/011142.pdf			1911		true	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	011142-d4d21dbff26b-011142	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/011142-d4d21dbff26b-011142.json	ready_for_ocr		OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0027	011143-7092f25827c4	011143.pdf	Burmese/Burma JBRS/1911/011143.pdf			1911		true	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	011143-7092f25827c4-011143	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/011143-7092f25827c4-011143.json	ready_for_ocr		OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0028	011143a-c9c2b99ef0b4	011143A.pdf	Burmese/Burma JBRS/1911/011143A.pdf			1911		true	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	011143a-c9c2b99ef0b4-011143a	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/011143a-c9c2b99ef0b4-011143a.json	ready_for_ocr		OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0029	011145-982b38c4fa0c	011145.pdf	Burmese/Burma JBRS/1911/011145.pdf			1911		true	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	011145-982b38c4fa0c-011145	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/011145-982b38c4fa0c-011145.json	ready_for_ocr		OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0030	011146-ef2e1f313359	011146.pdf	Burmese/Burma JBRS/1911/011146.pdf			1911		true	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	011146-ef2e1f313359-011146	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/011146-ef2e1f313359-011146.json	ready_for_ocr		OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0031	011147-52f8d443ab25	011147.pdf	Burmese/Burma JBRS/1911/011147.pdf			1911		true	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	011147-52f8d443ab25-011147	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/011147-52f8d443ab25-011147.json	ready_for_ocr		OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0032	011148-a406d1fa6b84	011148.pdf	Burmese/Burma JBRS/1911/011148.pdf			1911		true	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	011148-a406d1fa6b84-011148	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/011148-a406d1fa6b84-011148.json	ready_for_ocr		OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0033	011148a-832f13c4787e	011148A.pdf	Burmese/Burma JBRS/1911/011148A.pdf			1911		true	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	011148a-832f13c4787e-011148a	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/011148a-832f13c4787e-011148a.json	ready_for_ocr		OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0034	011149-8d9beb4249cd	011149.pdf	Burmese/Burma JBRS/1911/011149.pdf			1911		true	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	011149-8d9beb4249cd-011149	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/011149-8d9beb4249cd-011149.json	ready_for_ocr		OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0035	011152-63a0b8d47367	011152.pdf	Burmese/Burma JBRS/1911/011152.pdf			1911		true	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	011152-63a0b8d47367-011152	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/011152-63a0b8d47367-011152.json	ready_for_ocr		OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0036	011155-4cd07852bd9f	011155.pdf	Burmese/Burma JBRS/1911/011155.pdf			1911		true	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	011155-4cd07852bd9f-011155	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/011155-4cd07852bd9f-011155.json	ready_for_ocr		OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0037	011156-0d22485e8ffa	011156.pdf	Burmese/Burma JBRS/1911/011156.pdf			1911		true	medium	Has author/title metadata that makes targeted OCR more useful than generic bulk OCR.	article_pages_only	google_vision	011156-0d22485e8ffa-011156	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/011156-0d22485e8ffa-011156.json	ready_for_ocr		OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0038	012001-e1a50613e050	012001.pdf	Burmese/Burma JBRS/JBRS Originals/012001.pdf			1911		true	medium	Has author/title metadata that makes targeted OCR more useful than generic bulk OCR.	article_pages_only	google_vision	012001-e1a50613e050-012001	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/012001-e1a50613e050-012001.json	ready_for_ocr		OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0039	012006-930b21185c80	012006.pdf	Burmese/Burma JBRS/JBRS Originals/012006.pdf			1911		true	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	012006-930b21185c80-012006	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/012006-930b21185c80-012006.json	ready_for_ocr		OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0040	012010-1c487d302c75	012010.pdf	Burmese/Burma JBRS/JBRS Originals/012010.pdf					true	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	012010-1c487d302c75-012010	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/012010-1c487d302c75-012010.json	ready_for_ocr		OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0041	012017-60b46a6c0292	012017.pdf	Burmese/Burma JBRS/JBRS Originals/012017.pdf			1911		true	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	012017-60b46a6c0292-012017	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/012017-60b46a6c0292-012017.json	ready_for_ocr		OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0042	012024-d52548e46bd2	012024.pdf	Burmese/Burma JBRS/JBRS Originals/012024.pdf			1911		true	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	012024-d52548e46bd2-012024	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/012024-d52548e46bd2-012024.json	ready_for_ocr		OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0043	012026-4513001c02e8	012026.pdf	Burmese/Burma JBRS/JBRS Originals/012026.pdf					true	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	012026-4513001c02e8-012026	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/012026-4513001c02e8-012026.json	ready_for_ocr		OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0044	012028-a5365fa04ee8	012028.pdf	Burmese/Burma JBRS/JBRS Originals/012028.pdf					true	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	012028-a5365fa04ee8-012028	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/012028-a5365fa04ee8-012028.json	ready_for_ocr		OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0045	012032-07c032db1507	012032.pdf	Burmese/Burma JBRS/JBRS Originals/012032.pdf			1911		true	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	012032-07c032db1507-012032	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/012032-07c032db1507-012032.json	ready_for_ocr		OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0046	012036-eda6c7c876c5	012036.pdf	Burmese/Burma JBRS/JBRS Originals/012036.pdf			1911		true	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	012036-eda6c7c876c5-012036	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/012036-eda6c7c876c5-012036.json	ready_for_ocr		OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0047	012043-4286c1a6de46	012043.pdf	Burmese/Burma JBRS/JBRS Originals/012043.pdf					true	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	012043-4286c1a6de46-012043	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/012043-4286c1a6de46-012043.json	ready_for_ocr		OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0048	012046-6bfa8d9cff88	012046.pdf	Burmese/Burma JBRS/JBRS Originals/012046.pdf					true	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	012046-6bfa8d9cff88-012046	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/012046-6bfa8d9cff88-012046.json	ready_for_ocr		OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0049	012051-26b3daa6d9eb	012051.pdf	Burmese/Burma JBRS/JBRS Originals/012051.pdf					true	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	012051-26b3daa6d9eb-012051	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/012051-26b3daa6d9eb-012051.json	ready_for_ocr		OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0050	012052-fe53d0c198f6	012052.pdf	Burmese/Burma JBRS/JBRS Originals/012052.pdf					true	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	012052-fe53d0c198f6-012052	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/012052-fe53d0c198f6-012052.json	ready_for_ocr		OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0051	012056-12aff3914a7b	012056.pdf	Burmese/Burma JBRS/JBRS Originals/012056.pdf					true	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	012056-12aff3914a7b-012056	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/012056-12aff3914a7b-012056.json	ready_for_ocr		OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0052	012057-b4e681683902	012057.pdf	Burmese/Burma JBRS/JBRS Originals/012057.pdf					true	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	012057-b4e681683902-012057	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/012057-b4e681683902-012057.json	ready_for_ocr		OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0053	012059-c3c491571363	012059.pdf	Burmese/Burma JBRS/JBRS Originals/012059.pdf					true	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	012059-c3c491571363-012059	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/012059-c3c491571363-012059.json	ready_for_ocr		OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0054	012060-f73951f77186	012060.pdf	Burmese/Burma JBRS/JBRS Originals/012060.pdf					true	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	012060-f73951f77186-012060	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/012060-f73951f77186-012060.json	ready_for_ocr		OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0055	012065-b07d064cecce	012065.pdf	Burmese/Burma JBRS/JBRS Originals/012065.pdf					true	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	012065-b07d064cecce-012065	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/012065-b07d064cecce-012065.json	ready_for_ocr		OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0056	012067-e5fc57d93c5d	012067.pdf	Burmese/Burma JBRS/JBRS Originals/012067.pdf					true	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	012067-e5fc57d93c5d-012067	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/012067-e5fc57d93c5d-012067.json	ready_for_ocr		OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0057	012067a-601ee68843c6	012067A.pdf	Burmese/Burma JBRS/JBRS Originals/012067A.pdf			1911		true	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	012067a-601ee68843c6-012067a	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/012067a-601ee68843c6-012067a.json	ready_for_ocr		OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0058	012068-c4a199952595	012068.pdf	Burmese/Burma JBRS/JBRS Originals/012068.pdf			1911		true	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	012068-c4a199952595-012068	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/012068-c4a199952595-012068.json	ready_for_ocr		OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0059	012069-5daf08d19d51	012069.pdf	Burmese/Burma JBRS/JBRS Originals/012069.pdf					true	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	012069-5daf08d19d51-012069	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/012069-5daf08d19d51-012069.json	ready_for_ocr		OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0060	012070-547bab4a118e	012070.pdf	Burmese/Burma JBRS/JBRS Originals/012070.pdf			1911		true	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	012070-547bab4a118e-012070	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/012070-547bab4a118e-012070.json	ready_for_ocr		OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0061	012072-e81b51e12494	012072.pdf	Burmese/Burma JBRS/JBRS Originals/012072.pdf			1911		true	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	012072-e81b51e12494-012072	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/012072-e81b51e12494-012072.json	ready_for_ocr		OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
