source_family_id	bibtex_key	evidence_id	evidence_type	source_file_id	source_file_label	source_ref_id	short_evidence	full_evidence_hash	confidence	notes
sf-bbhc	burmaHistoricalCommissionBulletin	fam-bbhc-publication	corpus_reference				BBHC = Bulletin of the Burma Historical Commission	551246451cad8c51f2aa9e26aafc22fe9045a33521e17f66f25aff4f09b00d85	low	Keep as a provisional publication family.
sf-bed-b	fraschBaganEpigraphicDatabasePartB	bagan_epig_database-c4cfc990741f	frasch_word_document	bagan_epig_database-c4cfc990741f	Bagan Epig Database.doc	bagan_epig_database-c4cfc990741f	Bagan Epig Database	0d7078994c385015a4036922f7e7aeda3de886c7888b00ece7e7bdfccc227b87	high	Treat as a Frasch-derived local source family.
sf-eb	epigraphiaBirmanica	frasch-ref-01530	frasch_bibliography	bagan_epig_database-c4cfc990741f	Bagan Epig Database.doc	frasch-ref-01530	U Than Tun, JBRS 1976, p. 135-7, Luce, ELEB, JBRS 1940, p. 327-8	e850cdfdfcd2863167060f08563362b1870880040a0ff19b6ad430af71bae0ec	medium	Series-level entry only at this stage.
sf-iob	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	local_burma_folder	inscriptions_of_burma-b7c07d9f6d02	_မန_မ_တ__င__ရင___က__က_စ_(Inscriptions of Burma).pdf	inscriptions_of_burma-b7c07d9f6d02	မန မ တ င ရင က က စ (Inscriptions of Burma	c5497e0346922e5b4a422bad766abddf81261c92eb49acb6402101d3c31e15ae	high	Treat as the stable source family for IOB locators.
sf-jbrs	journalBurmaResearchSociety	luce_1924_countries_neighbouring_burma_j-056f581dfe61	local_luce_folder	luce_1924_countries_neighbouring_burma_j-056f581dfe61	Luce 1924 Countries Neighbouring Burma (JBRS).pdf	luce_1924_countries_neighbouring_burma_j-056f581dfe61	Countries Neighbouring Burma (JBRS	07b3a1a4eb56117431cfa6c2020d3489dc00bbda8c6e796f334224ee2bbc5e51	high	Article-level matches can override this series-level mapping.
sf-jras	journalRoyalAsiaticSociety	richardson_jras_article_re_photos-8849f4c5e9df	local_burma_folder	richardson_jras_article_re_photos-8849f4c5e9df	Richardson JRAS article re photos.pdf	richardson_jras_article_re_photos-8849f4c5e9df	Richardson JRAS article re photos	13f41393a4f10ddc24011bd45b013926ad3999fbc560a6b219151252b670aefc	high	Article-level matches can override this series-level mapping.
sf-list	duroiselle1921list	duroiselle_1921_list_of_inscriptions-fd372f9141d6	local_burma_folder	duroiselle_1921_list_of_inscriptions-fd372f9141d6	Duroiselle 1921 List of Inscriptions.pdf	duroiselle_1921_list_of_inscriptions-fd372f9141d6	List of Inscriptions	71587353653e6e032ae39b5fa5a8622065a1fa4334a2efce93f8a6127d896d96	high	Use as the stable catalogue family for List locators.
sf-mm	mmSourceFamily	frasch-ref-01917	frasch_bibliography	bagan_epig_database-c4cfc990741f	Bagan Epig Database.doc	frasch-ref-01917	Frasch, “Dhammasats,” App.	3e88af74e6178f8a027cf6e40c814c1cd6242558cc949eb6354750521630ab28	medium	Do not force a local-file match without stronger evidence.
sf-obi	obiCorpusSource	bibliographic_information_vol_1_2-a8236fd175a0	local_burma_folder	bibliographic_information_vol_1_2-a8236fd175a0	Bibliographic information vol 1 & 2.docx	bibliographic_information_vol_1_2-a8236fd175a0	Bibliographic information vol 1 and 2	780bc13972a1612980f61cf9187c08d60ed49654fcd7ad30ecca1cf4b6fb919c	high	Treat OBI as the structured corpus source family, not a machine stub.
sf-ppa	ppaCatalogue	fam-ppa-catalogue	corpus_reference				Inscriptions of Pagan, Pinya and Ava (PPA)	b73e2fbf1d3a242c7861a8b2832f1d9852fe8779da5269263dcbc32ceebfdfab	low	Keep as a provisional local-source-backed catalogue family.
sf-rdasb	rdasbSourceFamily	fam-rdasb-publication	corpus_reference				RDASB | Report of Director Arch. Survey Burma	a39a14b7f7ac50a6f6966aa4253716e0c9a4d12683a2476fb04256357714cdce	low	Use locators for year and page pending issue-level review.
sf-sip	sipSourceFamily	fam-sip-catalogue	corpus_reference				SIP = Pe Maung Tin and G. H. Luce, Selections from the Inscriptions of Pagan	958069a52cd97f120ade6062a39ca6c72dc2cd0b8af80b5f256bcfcd88680954	low	Keep provisional pending fuller identification.
sf-tn	uTunNyein1897inscriptionsPaganPinyaAva	fam-tn-catalogue	corpus_reference				TN U Tun Nyein (tr.), Inscriptions of Pagan, Pinya and Ava, Rangoon 1897	39c855ed9555fc78b3cb7bd463d97ac985c465d274f9a5caeb520c992afdc506	low	Keep provisional until the precise Than Tun source work is pinned down.
sf-u-min-hswe	uMinHsweSourceFamily	frasch-ref-02534	frasch_bibliography	bagan_epig_database-c4cfc990741f	Bagan Epig Database.doc	frasch-ref-02534	U Min Hswe, ??	b74f1aa66389a0180851aa09196c3b360af9648c960c4ac3750dadc9fd0353be	medium	Still needs bibliographic normalization beyond the named catalogue marker.
sf-ub	ubSourceFamily	fam-raw-ub-1	source_abbreviation_seed				UB references are preserved as a stable source-family abbreviation with locators.	7e31c252cba48040e3efd26b014c3c48df0763a120e6250bc59668250695b056	medium	UB references are preserved as a stable source-family abbreviation with locators.
sf-uem	uEMaung1958selectionsInscriptionsPagan	fam-uem-catalogue	corpus_reference				UEM U E Maung (ed.), Selections from the Inscriptions of Pagan, Rangoon 1958	37b00889f3da01e5658d66675781fa950646d1c008e58bdef42f7339e5f15012	low	Keep provisional until the full work title is recovered.
